sample_id	cluster	cell_type_major	cell_type_minor	cell_state	n_cells	contamination_median	contamination_P90	raw_total_counts	corrected_total_counts	top_marker_genes_expected	raw_top_marker_detected_pairs	corrected_top_marker_detected_pairs	top_marker_cell_pairs	raw_top_marker_count_sum	corrected_top_marker_count_sum	top_marker_detection_retention	top_marker_count_retention	total_count_retention
sample14	15	Endothelial/Pericyte	Pericyte_smooth_muscle_like	contractile	129	0.0181746199213506	0.150868249725626	1034950	979763.179494776	30	2101	2101	3870	26778	26746.5153170321	1	0.998824233215031	0.946676824479227
sample16	11	Myeloid	C1Q_FOLR2_TREM2_macrophage	C1Q_FOLR2_TREM2_TAM_like	106	0.0180027861170434	0.133640635718246	526553	505286.552073296	30	654	654	3180	5688	5681.44708557248	1	0.998847940501492	0.959611951832572
sample28	9	Epithelial	Pit_surface_mucous_like_epithelial	MUC5AC_CYP3A5_CLDN4_high	188	0.0178363198212523	0.449844929334741	462614	397759.676138526	30	2245	2245	5640	11043	11031.8621139586	1	0.998991407584765	0.859808990083582
sample15	7	T/NK	GNLY_NK_like_cytotoxic_lymphocyte	GNLY_GZMB_high_cytotoxic	1073	0.0177146509868521	0.055445939321815	3374881	3287291.36412628	30	20127	20127	32190	150097	149774.087205761	1	0.997848639251688	0.974046600199024
sample15	11	Myeloid	C1Q_FOLR2_TREM2_macrophage	C1Q_FOLR2_TREM2_TAM_like	390	0.0175662789764372	0.303918332933319	3346587	3135804.54621109	30	6625	6625	11700	129504	129473.944430498	1	0.999767917828778	0.937015695755434
sample13	4	B/Plasma	JCHAIN_TNFRSF17_plasma	antibody_secreting	54	0.0173804849364717	0.546203680625156	301852	282349.639272837	30	625	625	1620	94019	93956.6629708024	1	0.999336974130786	0.935390983902166
sample3	4	B/Plasma	JCHAIN_TNFRSF17_plasma	antibody_secreting	498	0.0172241427537786	0.196131744579806	11588394	10942885.9387708	30	9690	9690	14940	2709257	2633178.41845878	1	0.971919023724505	0.94429702155198
sample8	6	Endothelial/Pericyte	Vascular_endothelial	PLVAP_EMCN_high	467	0.017202439412403	0.0930681218627016	3674830	3497035.251589	30	8290	8290	14010	57244	57235.7513428965	1	0.999855903551403	0.95161823855498
sample8	14	B/Plasma	IGHA_high_plasma	IGHA_high_antibody_secreting	8	0.0170341680575057	0.232468780318122	166342	158713.970285769	30	127	127	240	26019	26014.0565180066	1	0.999810004919734	0.954142491287642
sample17	12	B/Plasma	Conventional_B_cell	B_cell	219	0.0170260449833624	0.0564289198602901	392279	375577.483848727	30	2277	2277	6570	4816	4797.88640051118	1	0.996238870538035	0.957424393986747
sample34	24	T/NK	Cycling_T_cell	cycling	57	0.01665113064004	0.110897889368794	567119	553725.186880397	30	991	991	1710	4036	4024.35073513316	1	0.997113660835767	0.976382711354048
sample31	14	B/Plasma	IGHA_high_plasma	IGHA_high_antibody_secreting	18	0.0166232284350532	0.351678879625891	85651	81061.0296301613	30	204	204	540	36532	36258.2079900013	1	0.99250541963214	0.946410778977027
sample20	13	Myeloid	FCN1_S100A8_A9_inflammatory_monocyte	inflammatory	68	0.01662266253107	0.103871739118282	539183	522204.348827905	30	1146	1146	2040	15949	15942.5089225805	1	0.999593010381871	0.968510410802835
sample34	17	Mast	Mast_cell	mast_cell	111	0.0165317802995282	0.11873387983325	436101	410892.402402986	30	2083	2083	3330	18841	18836.9848832928	1	0.999786894713273	0.94219550609374
sample16	15	Endothelial/Pericyte	Pericyte_smooth_muscle_like	contractile	60	0.0165047567491391	0.0441244874381811	1280490	1258335.63212457	30	1229	1229	1800	25415	25405.8240320716	1	0.999638954635906	0.982698523318862
sample8	19	Epithelial	Chief_like_epithelial	metallothionein_high	17	0.0163414015467746	0.0683727394105072	347513	337717.51023087	30	168	168	510	4529	4504.75263204583	1	0.994646198287884	0.971812594725579
sample7	14	B/Plasma	IGHA_high_plasma	IGHA_high_antibody_secreting	87	0.0163190322968502	0.608120952560406	1027391	915781.032740269	30	1366	1366	2610	336521	323790.192144716	1	0.962169350931193	0.891365636588474
sample15	2	T/NK	CCR6_IL7R_CD4_like_T	activated_costimulatory_checkpoint_high	1859	0.0162203372314389	0.0554771806165921	6041662	5890712.24941097	30	23109	23109	55770	56326	56166.0793342101	1	0.997160802013459	0.975015194397001
sample40	7	T/NK	GNLY_NK_like_cytotoxic_lymphocyte	GNLY_GZMB_high_cytotoxic	213	0.0161901508040544	0.0381996245686746	548445	536047.144193229	30	3026	3026	6390	14670	14659.1364274565	1	0.999259470174264	0.977394532164992
sample38	9	Epithelial	Pit_surface_mucous_like_epithelial	MUC5AC_CYP3A5_CLDN4_high	72	0.0161661227787062	0.0882829838737392	1038598	1003987.25167243	30	424	424	2160	1134	1085.86211608235	1	0.957550366915656	0.966675510324907
sample15	1	T/NK	CD8_GZMK_cytotoxic_T	GZMK_high_cytotoxic_memory_like	2653	0.0160636436695197	0.0444698361709322	8305188	8120747.29686538	30	49943	49943	79590	229104	228515.26550461	1	0.997430274044147	0.977792109807192
sample33	24	T/NK	Cycling_T_cell	cycling	18	0.0159610138378059	0.0925732466931997	122124	120683.482501899	30	184	184	540	764	763.800465888459	1	0.999738829696935	0.988204468424712
sample19	5	Fibroblast/CAF	LUM_DCN_PDGFRA_fibroblast	CCL11_CXCL14_stromal_program	255	0.0157546928922921	0.139108215726852	6145386	5890961.95594545	30	5048	5048	7650	169986	169626.452922545	1	0.997884843002039	0.958599176023353
sample14	18	B/Plasma	B_or_plasma_like_stress_high	stress_high_likely_dissociation_associated	180	0.0157153240593507	0.0904254959619384	422738	406074.483911293	30	4782	4782	5400	72354	71206.595915431	1	0.984141801634064	0.960581929969136
