sample_id	input_cells	input_genes	input_matrix	method	celda_version	status	cluster_label_source	model_cluster_counts	coarse_label_counts	reliable_model_clusters	background_input	corrected_counts_path	corrected_matrix_class	raw_total_counts	corrected_total_counts	removed_count_fraction	corrected_noninteger_fraction	raw_counts_remain_main	deletion_based_on_contamination	interpretation	error	seed	contamination_min	contamination_Q1	contamination_median	contamination_Q3	contamination_max	contamination_P90	contamination_P95
sample35	7584	19282	fixed_QC_scDblFinder_singlet_raw_integer_counts	DecontX	1.22.1	completed_with_researcher_approved_seurat_clusters	researcher_approved_seurat_cluster_partition	1=253|10=161|11=244|12=76|13=102|14=35|15=145|16=237|17=41|18=175|19=356|2=466|20=72|21=146|22=286|23=15|24=18|3=902|4=1558|5=620|6=472|7=83|8=773|9=348	B/Plasma=2617|Endothelial/Pericyte=617|Epithelial=1989|Fibroblast/CAF=620|Mast=41|Mesothelial=286|Myeloid=418|T/NK=996	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24	not_available_public_filtered_cells	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample35_decontX_corrected_counts.rds	dgCMatrix	27692136	21991842.568247	0.205845205720246	0.989964391098331	TRUE	FALSE	retained_cell_ambient_estimate_and_conditional_sensitivity_only	NA	42	4.71382207713733e-05	0.0126484069657812	0.180627128974369	0.5745069466422	0.999773316975133	0.805084019137919	0.904743750201126
sample36	3139	18290	fixed_QC_scDblFinder_singlet_raw_integer_counts	DecontX	1.22.1	completed_with_researcher_approved_seurat_clusters	researcher_approved_seurat_cluster_partition	1=591|10=178|11=68|12=127|13=46|14=335|15=27|16=51|17=48|18=82|19=14|2=371|20=32|21=3|22=8|23=8|24=17|3=147|4=329|5=1|6=19|7=188|8=154|9=295	B/Plasma=1027|Endothelial/Pericyte=46|Epithelial=510|Fibroblast/CAF=1|Mast=48|Mesothelial=8|Myeloid=146|T/NK=1353	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24	not_available_public_filtered_cells	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample36_decontX_corrected_counts.rds	dgCMatrix	25524383	22053692.2581784	0.135975500047214	0.993213134089131	TRUE	FALSE	retained_cell_ambient_estimate_and_conditional_sensitivity_only	NA	42	1.90916647159154e-05	0.00235364851513449	0.00493679102477169	0.0235485801553048	0.999944221362794	0.301552369846161	0.575982993472429
sample37	168	14044	fixed_QC_scDblFinder_singlet_raw_integer_counts	DecontX	1.22.1	completed_with_researcher_approved_seurat_clusters	researcher_approved_seurat_cluster_partition	1=29|10=4|11=8|13=50|14=3|15=2|16=1|17=3|18=1|2=5|20=2|22=14|3=3|4=1|5=30|6=2|7=7|9=3	B/Plasma=5|Endothelial/Pericyte=4|Epithelial=7|Fibroblast/CAF=30|Mast=3|Mesothelial=14|Myeloid=60|T/NK=45	1|2|3|4|5|6|7|9|10|11|13|14|15|16|17|18|20|22	not_available_public_filtered_cells	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample37_decontX_corrected_counts.rds	dgCMatrix	2019650	2011596.73428507	0.00398745610126836	0.992239030435812	TRUE	FALSE	retained_cell_ambient_estimate_and_conditional_sensitivity_only	NA	42	6.74429783665509e-06	0.000171556889635735	0.000816138209665997	0.00243378654860555	0.850118559459336	0.00594872772771629	0.0125100617888327
sample38	1564	18503	fixed_QC_scDblFinder_singlet_raw_integer_counts	DecontX	1.22.1	completed_with_researcher_approved_seurat_clusters	researcher_approved_seurat_cluster_partition	1=199|10=57|11=111|12=12|13=124|15=70|16=23|17=1|18=32|19=20|2=95|20=37|21=7|22=89|23=2|24=4|3=207|4=11|5=163|6=92|7=38|8=98|9=72	B/Plasma=153|Endothelial/Pericyte=162|Epithelial=329|Fibroblast/CAF=163|Mast=1|Mesothelial=89|Myeloid=272|T/NK=395	1|2|3|4|5|6|7|8|9|10|11|12|13|15|16|17|18|19|20|21|22|23|24	not_available_public_filtered_cells	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample38_decontX_corrected_counts.rds	dgCMatrix	15778596	14491643.3822612	0.0815631896360629	0.997293657250703	TRUE	FALSE	retained_cell_ambient_estimate_and_conditional_sensitivity_only	NA	42	1.93884583617339e-05	0.00166248668341407	0.00815333551936563	0.038803192996239	0.995544511610384	0.204536118953422	0.432287323130034
sample39	4793	19145	fixed_QC_scDblFinder_singlet_raw_integer_counts	DecontX	1.22.1	completed_with_researcher_approved_seurat_clusters	researcher_approved_seurat_cluster_partition	1=501|10=61|11=335|12=22|13=190|14=630|15=43|16=48|17=244|18=66|19=29|2=284|20=28|21=41|22=65|23=6|24=6|3=388|4=770|5=298|6=117|7=115|8=346|9=160	B/Plasma=1834|Endothelial/Pericyte=160|Epithelial=666|Fibroblast/CAF=298|Mast=244|Mesothelial=65|Myeloid=553|T/NK=973	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24	not_available_public_filtered_cells	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample39_decontX_corrected_counts.rds	dgCMatrix	31654610	28496650.8969546	0.0997630077592292	0.997710150241507	TRUE	FALSE	retained_cell_ambient_estimate_and_conditional_sensitivity_only	NA	42	7.20233613879863e-06	0.000923985505335995	0.00419450827799971	0.0219788144482204	0.999986717654472	0.285330963283523	0.901475523902572
sample4	1953	17922	fixed_QC_scDblFinder_singlet_raw_integer_counts	DecontX	1.22.1	completed_with_researcher_approved_seurat_clusters	researcher_approved_seurat_cluster_partition	1=254|10=132|11=51|12=60|13=108|14=26|15=20|16=43|17=20|18=13|19=26|2=195|20=16|21=4|22=9|23=7|24=7|3=430|4=162|5=5|6=28|7=80|8=20|9=237	B/Plasma=281|Endothelial/Pericyte=48|Epithelial=740|Fibroblast/CAF=5|Mast=20|Mesothelial=9|Myeloid=175|T/NK=675	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24	not_available_public_filtered_cells	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample4_decontX_corrected_counts.rds	dgCMatrix	14807173	14521283.7926345	0.0193074807301498	0.997936381460559	TRUE	FALSE	retained_cell_ambient_estimate_and_conditional_sensitivity_only	NA	42	5.57227090739834e-06	0.000415501895626389	0.00162601091799324	0.00581784554828528	0.998382239922068	0.0376517351897176	0.115349254958563
sample40	4666	19239	fixed_QC_scDblFinder_singlet_raw_integer_counts	DecontX	1.22.1	completed_with_researcher_approved_seurat_clusters	researcher_approved_seurat_cluster_partition	1=316|10=93|11=186|12=280|13=588|14=133|15=293|16=10|17=98|18=40|19=4|2=577|20=161|23=25|24=5|3=51|4=258|5=270|6=756|7=213|8=252|9=57	B/Plasma=963|Endothelial/Pericyte=1049|Epithelial=122|Fibroblast/CAF=270|Mast=98|Myeloid=935|T/NK=1229	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|23|24	not_available_public_filtered_cells	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample40_decontX_corrected_counts.rds	dgCMatrix	25441019	24117819.9948895	0.0520104562286027	0.994870693798098	TRUE	FALSE	retained_cell_ambient_estimate_and_conditional_sensitivity_only	NA	42	0.000110834728062164	0.00844061426510097	0.0157746716851344	0.0352405355485918	0.999454360107754	0.121472270712466	0.276343646623923
sample5	3456	19440	fixed_QC_scDblFinder_singlet_raw_integer_counts	DecontX	1.22.1	completed_with_researcher_approved_seurat_clusters	researcher_approved_seurat_cluster_partition	1=435|10=381|11=53|12=69|13=21|14=383|15=39|16=165|17=29|18=80|19=48|2=234|20=7|21=16|22=6|23=2|24=5|3=244|4=505|5=138|6=187|7=44|8=219|9=146	B/Plasma=1256|Endothelial/Pericyte=226|Epithelial=619|Fibroblast/CAF=138|Mast=29|Mesothelial=6|Myeloid=81|T/NK=1101	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24	not_available_public_filtered_cells	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample5_decontX_corrected_counts.rds	dgCMatrix	39223212	35857315.5118218	0.0858138922477381	0.997756499583134	TRUE	FALSE	retained_cell_ambient_estimate_and_conditional_sensitivity_only	NA	42	2.90373817998923e-06	0.000860709577990029	0.00243687714697186	0.00999411718296178	0.999987570286705	0.132828249855717	0.481121423582031
sample6	1934	18267	fixed_QC_scDblFinder_singlet_raw_integer_counts	DecontX	1.22.1	completed_with_researcher_approved_seurat_clusters	researcher_approved_seurat_cluster_partition	1=265|10=132|11=30|12=76|13=16|14=122|15=32|16=81|17=17|18=34|19=14|2=178|20=17|21=19|23=4|24=7|3=114|4=276|5=78|6=87|7=130|8=77|9=128	B/Plasma=585|Endothelial/Pericyte=119|Epithelial=356|Fibroblast/CAF=78|Mast=17|Myeloid=63|T/NK=716	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|23|24	not_available_public_filtered_cells	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample6_decontX_corrected_counts.rds	dgCMatrix	17987891	17157294.8068891	0.0461752960984065	0.997478536505716	TRUE	FALSE	retained_cell_ambient_estimate_and_conditional_sensitivity_only	NA	42	4.39026001638181e-06	0.000619877378392373	0.00227231272262627	0.00931648388322836	0.999997203929516	0.0612446705683623	0.263913223406528
sample7	1962	18735	fixed_QC_scDblFinder_singlet_raw_integer_counts	DecontX	1.22.1	completed_with_researcher_approved_seurat_clusters	researcher_approved_seurat_cluster_partition	1=155|10=100|11=53|12=93|13=21|14=87|15=46|16=120|17=65|18=22|19=31|2=127|20=11|21=19|22=9|23=7|24=2|3=193|4=269|5=81|6=62|7=94|8=81|9=214	B/Plasma=552|Endothelial/Pericyte=108|Epithelial=577|Fibroblast/CAF=81|Mast=65|Mesothelial=9|Myeloid=85|T/NK=485	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24	not_available_public_filtered_cells	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample7_decontX_corrected_counts.rds	dgCMatrix	18536304	18046402.671245	0.0264292886410926	0.99794116779323	TRUE	FALSE	retained_cell_ambient_estimate_and_conditional_sensitivity_only	NA	42	4.35873526655838e-06	0.000453937523098004	0.00224282777471201	0.00879436346253173	0.999642277494434	0.054576653823832	0.141207145898651
sample8	6355	20417	fixed_QC_scDblFinder_singlet_raw_integer_counts	DecontX	1.22.1	completed_with_researcher_approved_seurat_clusters	researcher_approved_seurat_cluster_partition	1=1584|10=482|11=201|12=262|13=55|14=8|15=271|16=58|17=4|18=117|19=17|2=1037|20=60|21=5|22=165|23=16|24=9|3=262|4=9|5=675|6=467|7=402|8=82|9=107	B/Plasma=478|Endothelial/Pericyte=738|Epithelial=449|Fibroblast/CAF=675|Mast=4|Mesothelial=165|Myeloid=316|T/NK=3530	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24	not_available_public_filtered_cells	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample8_decontX_corrected_counts.rds	dgCMatrix	37062841	34493169.9414671	0.0693328139235971	0.994655920953012	TRUE	FALSE	retained_cell_ambient_estimate_and_conditional_sensitivity_only	NA	42	2.58338018576219e-05	0.0175429169964383	0.0344800514640986	0.0701538148873447	0.99736794418687	0.154146478467154	0.276532056115441
sample9	3093	18479	fixed_QC_scDblFinder_singlet_raw_integer_counts	DecontX	1.22.1	completed_with_researcher_approved_seurat_clusters	researcher_approved_seurat_cluster_partition	1=316|10=153|11=30|12=20|13=7|14=14|15=27|16=109|17=49|18=19|19=112|2=203|20=6|21=98|22=8|23=6|24=4|3=615|4=290|5=190|6=88|7=53|8=486|9=190	B/Plasma=829|Endothelial/Pericyte=115|Epithelial=1124|Fibroblast/CAF=190|Mast=49|Mesothelial=8|Myeloid=43|T/NK=735	1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24	not_available_public_filtered_cells	/root/gc-mlmod-project/objects/F1_single_cell/decontX_corrected_by_sample/sample9_decontX_corrected_counts.rds	dgCMatrix	22858130	20243832.8138684	0.11437056251459	0.997951824510723	TRUE	FALSE	retained_cell_ambient_estimate_and_conditional_sensitivity_only	NA	42	2.77303109272631e-06	0.0022660031649069	0.00785461882658352	0.0312111298664244	0.999972049318425	0.701005655668305	0.851968042301827
