coarse_lineage_label	n_cells	n_samples	contamination_mean	contamination_median	contamination_P90	contamination_P95	fraction_ge_0_10	fraction_ge_0_20
T/NK	50064	40	0.03235476353312	0.0104624757458411	0.0620684404710696	0.108204420581009	0.0548697666986258	0.0242689357622244
B/Plasma	29259	40	0.160918733692029	0.0300129481804569	0.586779361465008	0.936609708238641	0.32109778187908	0.230117228886838
Epithelial	26828	40	0.0875385805646625	0.00451882002558264	0.325271002072275	0.659348557216695	0.16564783062472	0.128112419859848
Myeloid	12385	40	0.0699020813839979	0.00760927493820182	0.219016815727587	0.443600409051962	0.165199838514332	0.105853855470327
Endothelial/Pericyte	11192	40	0.0568737873962381	0.00807719037027644	0.137778713430074	0.362133796895353	0.121783416726233	0.0790743388134382
Fibroblast/CAF	8946	40	0.0632742389306839	0.0081109601020863	0.173882739385729	0.397484113707921	0.142521797451375	0.0902079141515761
Mast	2703	39	0.0223509812146025	0.00382075979518275	0.0335752072414597	0.0754306640527466	0.0403255641879393	0.0236773954864965
Mesothelial	1273	37	0.0264180458648489	0.00707471891208798	0.0619657710616637	0.116073859090368	0.0620581304006284	0.0227808326787117
