"dataset_id"	"run_accession"	"sample_accession"	"experiment_accession"	"file_name"	"source_url"	"local_path"	"expected_bytes"	"local_size_bytes"	"size_status"	"expected_md5"	"observed_md5"	"md5_status"	"sha256"	"library_layout"	"library_strategy"	"instrument_model"	"include_in_main_download"	"exclusion_reason"	"checked_at"
"SRP444325"	"SRR24947500"	"SAMN35767466"	"SRX20705970"	"SRR24947500_1.fastq.gz"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/000/SRR24947500/SRR24947500_1.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947500_1.fastq.gz"	"1492486285"	"0"	"size_mismatch"	"c02fc08e5e43f229a805e30e523458fc"	""	"not_checked_plan_only"	""	"PAIRED"	"RNA-Seq"	"Illumina NovaSeq 6000"	"True"	""	"2026-06-27 20:07:47"
"SRP444325"	"SRR24947500"	"SAMN35767466"	"SRX20705970"	"SRR24947500_2.fastq.gz"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/000/SRR24947500/SRR24947500_2.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947500_2.fastq.gz"	"1632532583"	"0"	"size_mismatch"	"d438e3cd9c59c52a366e2b5de50c7bc6"	""	"not_checked_plan_only"	""	"PAIRED"	"RNA-Seq"	"Illumina NovaSeq 6000"	"True"	""	"2026-06-27 20:07:47"
"SRP444325"	"SRR24947501"	"SAMN35767465"	"SRX20705969"	"SRR24947501_1.fastq.gz"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/001/SRR24947501/SRR24947501_1.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947501_1.fastq.gz"	"1371334655"	"0"	"size_mismatch"	"50376e506fee822253bdb6a3dcbe63a0"	""	"not_checked_plan_only"	""	"PAIRED"	"RNA-Seq"	"Illumina NovaSeq 6000"	"True"	""	"2026-06-27 20:07:47"
"SRP444325"	"SRR24947501"	"SAMN35767465"	"SRX20705969"	"SRR24947501_2.fastq.gz"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/001/SRR24947501/SRR24947501_2.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947501_2.fastq.gz"	"1597357895"	"0"	"size_mismatch"	"e42f18e13fb1e283b1ddc90a2297f4ea"	""	"not_checked_plan_only"	""	"PAIRED"	"RNA-Seq"	"Illumina NovaSeq 6000"	"True"	""	"2026-06-27 20:07:47"
"SRP444325"	"SRR24947505"	"SAMN35767474"	"SRX20705965"	"SRR24947505_1.fastq.gz"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/005/SRR24947505/SRR24947505_1.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947505_1.fastq.gz"	"1031953510"	"0"	"size_mismatch"	"b39673634d0673466a91d0fdad3ae922"	""	"not_checked_plan_only"	""	"PAIRED"	"RNA-Seq"	"Illumina NovaSeq 6000"	"True"	""	"2026-06-27 20:07:47"
"SRP444325"	"SRR24947505"	"SAMN35767474"	"SRX20705965"	"SRR24947505_2.fastq.gz"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/005/SRR24947505/SRR24947505_2.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947505_2.fastq.gz"	"1129223328"	"0"	"size_mismatch"	"69d05651f38483647f0a5fe2406195d9"	""	"not_checked_plan_only"	""	"PAIRED"	"RNA-Seq"	"Illumina NovaSeq 6000"	"True"	""	"2026-06-27 20:07:47"
"SRP444325"	"SRR24947506"	"SAMN35767473"	"SRX20705964"	"SRR24947506_1.fastq.gz"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/006/SRR24947506/SRR24947506_1.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947506_1.fastq.gz"	"1614606602"	"0"	"size_mismatch"	"18046d4bb45c01068cbacd0a07a6e0e6"	""	"not_checked_plan_only"	""	"PAIRED"	"RNA-Seq"	"Illumina NovaSeq 6000"	"True"	""	"2026-06-27 20:07:47"
"SRP444325"	"SRR24947506"	"SAMN35767473"	"SRX20705964"	"SRR24947506_2.fastq.gz"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/006/SRR24947506/SRR24947506_2.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947506_2.fastq.gz"	"1703235366"	"0"	"size_mismatch"	"c4e746a617c3a486c9c550361a076e95"	""	"not_checked_plan_only"	""	"PAIRED"	"RNA-Seq"	"Illumina NovaSeq 6000"	"True"	""	"2026-06-27 20:07:47"
"SRP444325"	"SRR24947497"	"SAMN35767469"	"SRX20705973"	"SRR24947497_1.fastq.gz"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/097/SRR24947497/SRR24947497_1.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947497_1.fastq.gz"	"1827186895"	"0"	"size_mismatch"	"dec8c03919b003ec8efd272ea1767821"	""	"not_checked_plan_only"	""	"PAIRED"	"RNA-Seq"	"Illumina NovaSeq 6000"	"True"	""	"2026-06-27 20:07:47"
"SRP444325"	"SRR24947497"	"SAMN35767469"	"SRX20705973"	"SRR24947497_2.fastq.gz"	"https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/097/SRR24947497/SRR24947497_2.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947497_2.fastq.gz"	"1899650474"	"0"	"size_mismatch"	"368e7f013ae3d311800da8dacb96a730"	""	"not_checked_plan_only"	""	"PAIRED"	"RNA-Seq"	"Illumina NovaSeq 6000"	"True"	""	"2026-06-27 20:07:47"
