"dataset_id"	"run_accession"	"file_name"	"source_url"	"expected_bytes"	"local_size_bytes"	"include_in_main_download"	"exclusion_reason"	"action"	"aria2_control_exists"	"checked_at"
"SRP444325"	"SRR24947498"	"SRR24947498_1.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/098/SRR24947498/SRR24947498_1.fastq.gz"	"1324467940"	"1324467940"	"True"	""	"already_complete"	"False"	"2026-06-29 08:06:37"
"SRP444325"	"SRR24947498"	"SRR24947498_2.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/098/SRR24947498/SRR24947498_2.fastq.gz"	"1445243153"	"1445243153"	"True"	""	"already_complete"	"False"	"2026-06-29 08:06:37"
"SRP444325"	"SRR24947502"	"SRR24947502_1.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/002/SRR24947502/SRR24947502_1.fastq.gz"	"1507508727"	"1507508727"	"True"	""	"already_complete"	"False"	"2026-06-29 08:06:37"
"SRP444325"	"SRR24947502"	"SRR24947502_2.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/002/SRR24947502/SRR24947502_2.fastq.gz"	"1840676528"	"1840676528"	"True"	""	"already_complete"	"False"	"2026-06-29 08:06:37"
"SRP444325"	"SRR24947503"	"SRR24947503_1.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/003/SRR24947503/SRR24947503_1.fastq.gz"	"1480535995"	"1480535995"	"True"	""	"already_complete"	"False"	"2026-06-29 08:06:37"
"SRP444325"	"SRR24947503"	"SRR24947503_2.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/003/SRR24947503/SRR24947503_2.fastq.gz"	"1782133882"	"1782133882"	"True"	""	"already_complete"	"False"	"2026-06-29 08:06:37"
"SRP444325"	"SRR24947507"	"SRR24947507_1.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/007/SRR24947507/SRR24947507_1.fastq.gz"	"1188143087"	"1188143087"	"True"	""	"already_complete"	"False"	"2026-06-29 08:06:37"
"SRP444325"	"SRR24947507"	"SRR24947507_2.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/007/SRR24947507/SRR24947507_2.fastq.gz"	"1407994093"	"1407994093"	"True"	""	"already_complete"	"False"	"2026-06-29 08:06:37"
"SRP444325"	"SRR24947508"	"SRR24947508_1.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/008/SRR24947508/SRR24947508_1.fastq.gz"	"1200126224"	"1200126224"	"True"	""	"already_complete"	"False"	"2026-06-29 08:06:37"
"SRP444325"	"SRR24947508"	"SRR24947508_2.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/008/SRR24947508/SRR24947508_2.fastq.gz"	"1430361416"	"1430361416"	"True"	""	"already_complete"	"False"	"2026-06-29 08:06:37"
