"dataset_id"	"file_name"	"source_url"	"local_path"	"remote_size_bytes"	"local_size_bytes"	"size_status"	"sha256"	"gzip_status"	"checked_at"
"GSE239676"	"GSE239676_barcodes.tsv.gz"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE239nnn/GSE239676/suppl/GSE239676_barcodes.tsv.gz"	"data\public_downloads\GSE239676\GSE239676_barcodes.tsv.gz"	"5646427"	"5646427"	"size_ok"	"0CCC4A623061FA62D1AC4D60D6E234980A7DD82D8F3CB221DD9FA065A76189EF"	"not_checked_plan_only"	"2026-06-27 20:05:41"
"GSE239676"	"GSE239676_features.tsv.gz"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE239nnn/GSE239676/suppl/GSE239676_features.tsv.gz"	"data\public_downloads\GSE239676\GSE239676_features.tsv.gz"	"54526"	"0"	"size_mismatch"	""	"not_checked_plan_only"	"2026-06-27 20:05:42"
"GSE239676"	"GSE239676_meta.tsv.gz"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE239nnn/GSE239676/suppl/GSE239676_meta.tsv.gz"	"data\public_downloads\GSE239676\GSE239676_meta.tsv.gz"	"5736884"	"0"	"size_mismatch"	""	"not_checked_plan_only"	"2026-06-27 20:05:44"
"GSE239676"	"GSE239676_count_matrix.mtx.gz"	"https://ftp.ncbi.nlm.nih.gov/geo/series/GSE239nnn/GSE239676/suppl/GSE239676_count_matrix.mtx.gz"	"data\public_downloads\GSE239676\GSE239676_count_matrix.mtx.gz"	"984791532"	"134336512"	"size_mismatch"	"F4FFC3CBA63F24C87AD02CB885C630FEB1B93F2BBABE53AE01CA55DA80450B11"	"not_checked_plan_only"	"2026-06-27 20:05:46"
