"dataset_id"	"run_accession"	"sample_accession"	"experiment_accession"	"file_name"	"source_url"	"local_path"	"expected_bytes"	"local_size_bytes"	"size_status"	"expected_md5"	"observed_md5"	"md5_status"	"include_in_main_download"	"checked_at"
"SRP444325"	"SRR24947501"	"SAMN35767465"	"SRX20705969"	"SRR24947501_1.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/001/SRR24947501/SRR24947501_1.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947501_1.fastq.gz"	"1371334655"	"1371334655"	"size_ok"	"50376e506fee822253bdb6a3dcbe63a0"	"50376e506fee822253bdb6a3dcbe63a0"	"md5_ok"	"True"	"2026-06-29 22:40:28"
"SRP444325"	"SRR24947501"	"SAMN35767465"	"SRX20705969"	"SRR24947501_2.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/001/SRR24947501/SRR24947501_2.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947501_2.fastq.gz"	"1597357895"	"1597357895"	"size_ok"	"e42f18e13fb1e283b1ddc90a2297f4ea"	"e42f18e13fb1e283b1ddc90a2297f4ea"	"md5_ok"	"True"	"2026-06-29 22:40:36"
"SRP444325"	"SRR24947505"	"SAMN35767474"	"SRX20705965"	"SRR24947505_1.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/005/SRR24947505/SRR24947505_1.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947505_1.fastq.gz"	"1031953510"	"1031953510"	"size_ok"	"b39673634d0673466a91d0fdad3ae922"	"b39673634d0673466a91d0fdad3ae922"	"md5_ok"	"True"	"2026-06-29 22:40:42"
"SRP444325"	"SRR24947505"	"SAMN35767474"	"SRX20705965"	"SRR24947505_2.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/005/SRR24947505/SRR24947505_2.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947505_2.fastq.gz"	"1129223328"	"1129223328"	"size_ok"	"69d05651f38483647f0a5fe2406195d9"	"69d05651f38483647f0a5fe2406195d9"	"md5_ok"	"True"	"2026-06-29 22:40:47"
"SRP444325"	"SRR24947506"	"SAMN35767473"	"SRX20705964"	"SRR24947506_1.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/006/SRR24947506/SRR24947506_1.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947506_1.fastq.gz"	"1614606602"	"1614606602"	"size_ok"	"18046d4bb45c01068cbacd0a07a6e0e6"	"18046d4bb45c01068cbacd0a07a6e0e6"	"md5_ok"	"True"	"2026-06-29 22:40:56"
"SRP444325"	"SRR24947506"	"SAMN35767473"	"SRX20705964"	"SRR24947506_2.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/006/SRR24947506/SRR24947506_2.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947506_2.fastq.gz"	"1703235366"	"1703235366"	"size_ok"	"c4e746a617c3a486c9c550361a076e95"	"c4e746a617c3a486c9c550361a076e95"	"md5_ok"	"True"	"2026-06-29 22:41:04"
"SRP444325"	"SRR24947497"	"SAMN35767469"	"SRX20705973"	"SRR24947497_1.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/097/SRR24947497/SRR24947497_1.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947497_1.fastq.gz"	"1827186895"	"1827186895"	"size_ok"	"dec8c03919b003ec8efd272ea1767821"	"dec8c03919b003ec8efd272ea1767821"	"md5_ok"	"True"	"2026-06-29 22:41:13"
"SRP444325"	"SRR24947497"	"SAMN35767469"	"SRX20705973"	"SRR24947497_2.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/097/SRR24947497/SRR24947497_2.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947497_2.fastq.gz"	"1899650474"	"1899650474"	"size_ok"	"368e7f013ae3d311800da8dacb96a730"	"368e7f013ae3d311800da8dacb96a730"	"md5_ok"	"True"	"2026-06-29 22:41:23"
"SRP444325"	"SRR24947498"	"SAMN35767468"	"SRX20705972"	"SRR24947498_1.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/098/SRR24947498/SRR24947498_1.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947498_1.fastq.gz"	"1324467940"	"1324467940"	"size_ok"	"8d2b16dbb0d3813301894ae7854252b6"	"8d2b16dbb0d3813301894ae7854252b6"	"md5_ok"	"True"	"2026-06-29 22:41:29"
"SRP444325"	"SRR24947498"	"SAMN35767468"	"SRX20705972"	"SRR24947498_2.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/098/SRR24947498/SRR24947498_2.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947498_2.fastq.gz"	"1445243153"	"1445243153"	"size_ok"	"f9725429df2fa398cbe6958fe8657806"	"f9725429df2fa398cbe6958fe8657806"	"md5_ok"	"True"	"2026-06-29 22:41:37"
"SRP444325"	"SRR24947502"	"SAMN35767464"	"SRX20705968"	"SRR24947502_1.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/002/SRR24947502/SRR24947502_1.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947502_1.fastq.gz"	"1507508727"	"1507508727"	"size_ok"	"0438af2751b21499490a5143bc308f4e"	"0438af2751b21499490a5143bc308f4e"	"md5_ok"	"True"	"2026-06-29 22:41:44"
"SRP444325"	"SRR24947502"	"SAMN35767464"	"SRX20705968"	"SRR24947502_2.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/002/SRR24947502/SRR24947502_2.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947502_2.fastq.gz"	"1840676528"	"1840676528"	"size_ok"	"19110287a2cb7fb8090b543b4981def4"	"19110287a2cb7fb8090b543b4981def4"	"md5_ok"	"True"	"2026-06-29 22:41:53"
"SRP444325"	"SRR24947503"	"SAMN35767463"	"SRX20705967"	"SRR24947503_1.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/003/SRR24947503/SRR24947503_1.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947503_1.fastq.gz"	"1480535995"	"1480535995"	"size_ok"	"5cf22618a3fb3c425a7acec5fb0edc0d"	"5cf22618a3fb3c425a7acec5fb0edc0d"	"md5_ok"	"True"	"2026-06-29 22:42:01"
"SRP444325"	"SRR24947503"	"SAMN35767463"	"SRX20705967"	"SRR24947503_2.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/003/SRR24947503/SRR24947503_2.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947503_2.fastq.gz"	"1782133882"	"1782133882"	"size_ok"	"c418e41d67ad3efb187e3274c4049f3b"	"c418e41d67ad3efb187e3274c4049f3b"	"md5_ok"	"True"	"2026-06-29 22:42:09"
"SRP444325"	"SRR24947507"	"SAMN35767472"	"SRX20705963"	"SRR24947507_1.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/007/SRR24947507/SRR24947507_1.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947507_1.fastq.gz"	"1188143087"	"1188143087"	"size_ok"	"0dacda5c4b3a70cf342afe3aac017778"	"0dacda5c4b3a70cf342afe3aac017778"	"md5_ok"	"True"	"2026-06-29 22:42:15"
"SRP444325"	"SRR24947507"	"SAMN35767472"	"SRX20705963"	"SRR24947507_2.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/007/SRR24947507/SRR24947507_2.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947507_2.fastq.gz"	"1407994093"	"1407994093"	"size_ok"	"729a91285dc102dd0834713f7d4c4c2a"	"729a91285dc102dd0834713f7d4c4c2a"	"md5_ok"	"True"	"2026-06-29 22:42:22"
"SRP444325"	"SRR24947508"	"SAMN35767461"	"SRX20705962"	"SRR24947508_1.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/008/SRR24947508/SRR24947508_1.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947508_1.fastq.gz"	"1200126224"	"1200126224"	"size_ok"	"75cdcb67abf5e46efadc708c1999969e"	"75cdcb67abf5e46efadc708c1999969e"	"md5_ok"	"True"	"2026-06-29 22:42:28"
"SRP444325"	"SRR24947508"	"SAMN35767461"	"SRX20705962"	"SRR24947508_2.fastq.gz"	"ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR249/008/SRR24947508/SRR24947508_2.fastq.gz"	"data\public_downloads\SRP444325\fastq\SRR24947508_2.fastq.gz"	"1430361416"	"1430361416"	"size_ok"	"7e4f725b84aa8c90a2f669260851f0ff"	"7e4f725b84aa8c90a2f669260851f0ff"	"md5_ok"	"True"	"2026-06-29 22:42:36"
